accion, 0.1111, 0.0341, 0.0122, 0.0049, 0.0073, 0.0024, 0.022, 0.0098, 0.0073, 0.0122, 0.0024, 0.0171, 0.0073, 0.0098, 0.0122, 0.0049, 0.0171, 0.0122, 0.0024, 0.0024, 0.0073, 0.0073, 0.0049, 0.0049, 0.0073, 0.0122, 0.0073, 0.0098, 0.0171, 0.022, 0.0049, 0.0122, 0.0024, 0.0024, 0.0073, 0.0024, 0.0122, 0.0024, 0.0049, 0.0024, 0.0098, 0.0024, 0.0073, 0.0073, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0171, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0049, 0.0024, 0.0073, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0049, 0.022, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0073, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0146, 0.0171, 0.0049, 0.0024, 0.0341, 0.0024, 0.0024, 0.0024, 0.0024, 0.0049, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0146, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0146, 0.0098, 0.0049, 0.0049, 0.0073, 0.0122, 0.0098, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0122, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0073, 0.0049, 0.0195, 0.0024, 0.0024, 0.0024, 0.0073, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0171, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0073, 0.0049, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0073, 0.0024, 0.0049, 0.0098, 0.0073, 0.0024, 0.0024, 0.0024
animacion, 0.1111, 0.0022, 0.0066, 0.0022, 0.0022, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0066, 0.0022, 0.0022, 0.0044, 0.0022, 0.0044, 0.0022, 0.0044, 0.0022, 0.0087, 0.0022, 0.0022, 0.0022, 0.0044, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0109, 0.0306, 0.0109, 0.0284, 0.024, 0.0131, 0.024, 0.0066, 0.0175, 0.0218, 0.0153, 0.0131, 0.0109, 0.0175, 0.0131, 0.0153, 0.0175, 0.0066, 0.0066, 0.0087, 0.0087, 0.0066, 0.0044, 0.0022, 0.0022, 0.0044, 0.0044, 0.0044, 0.0044, 0.0066, 0.0044, 0.0131, 0.0022, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0131, 0.0044, 0.0087, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0066, 0.0022, 0.0087, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0197, 0.024, 0.0022, 0.024, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0044, 0.0131, 0.0044, 0.0022, 0.0022, 0.0022, 0.0044, 0.0044, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0044, 0.0066, 0.0066, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0044, 0.0109, 0.0022, 0.0109, 0.0175, 0.0044, 0.024, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0044, 0.0044, 0.0066, 0.0109, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0109, 0.0066, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0109, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0044, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0022, 0.0044
cienciaFiccion, 0.1111, 0.0112, 0.0084, 0.0084, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.014, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.014, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0084, 0.0028, 0.0028, 0.0028, 0.0112, 0.0028, 0.0028, 0.0028, 0.0084, 0.0112, 0.0084, 0.0112, 0.0112, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.014, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0364, 0.014, 0.028, 0.0168, 0.0224, 0.0196, 0.0028, 0.014, 0.0224, 0.0056, 0.0084, 0.0028, 0.0028, 0.0112, 0.0084, 0.014, 0.0028, 0.0056, 0.0112, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0084, 0.0028, 0.0392, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0112, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0168, 0.0028, 0.0028, 0.0084, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.014, 0.0028, 0.0028, 0.0028, 0.0028, 0.0084, 0.0084, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0056, 0.0028, 0.0084, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0112, 0.0084, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028
comedia, 0.1111, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0176, 0.0029, 0.0147, 0.0029, 0.0029, 0.0029, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0059, 0.0059, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0235, 0.0029, 0.0029, 0.0029, 0.0117, 0.0088, 0.0088, 0.0029, 0.0147, 0.0088, 0.0147, 0.0059, 0.0059, 0.0029, 0.0029, 0.0029, 0.0059, 0.0059, 0.0147, 0.0029, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0117, 0.0029, 0.0029, 0.0029, 0.0029, 0.0117, 0.0205, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0059, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0088, 0.0029, 0.0088, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0059, 0.0029, 0.0059, 0.0147, 0.0323, 0.0117, 0.0029, 0.0293, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0147, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0147, 0.0029, 0.0088, 0.0029, 0.0059, 0.0176, 0.0117, 0.0059, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0176, 0.0029, 0.0029, 0.0029, 0.0029, 0.0059, 0.0176, 0.0029, 0.0088, 0.0147, 0.0029, 0.0029, 0.0029, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0088, 0.0029, 0.0029, 0.0059, 0.0029, 0.0059, 0.0029, 0.0088, 0.0029, 0.0235, 0.0059, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0029, 0.0059, 0.0029, 0.0029, 0.0059, 0.0029, 0.0029, 0.0029, 0.0029
drama, 0.1111, 0.0048, 0.0096, 0.0072, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0048, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0048, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0145, 0.0024, 0.0024, 0.0048, 0.0361, 0.0048, 0.0145, 0.0048, 0.041, 0.0048, 0.0048, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0193, 0.0048, 0.0024, 0.0024, 0.0024, 0.0096, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0048, 0.0024, 0.0024, 0.0048, 0.0024, 0.0024, 0.0024, 0.0096, 0.0024, 0.0145, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0265, 0.0386, 0.0361, 0.0072, 0.0289, 0.0145, 0.0024, 0.0072, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0048, 0.0048, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0265, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0265, 0.0024, 0.0072, 0.0024, 0.0048, 0.0458, 0.0048, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0024, 0.0048, 0.0024, 0.0024, 0.0024, 0.0048, 0.0361, 0.0048, 0.0048, 0.0024, 0.0072, 0.0024, 0.0024, 0.0024, 0.0024, 0.0048, 0.0024, 0.0024, 0.0072, 0.0048, 0.0024, 0.0024, 0.0072, 0.0024, 0.0048, 0.0024, 0.0024, 0.0024, 0.0145, 0.0024, 0.0024, 0.0024, 0.0048, 0.0048, 0.0072, 0.0024, 0.0024, 0.0096, 0.0024, 0.0024, 0.0072, 0.0072, 0.0024, 0.0024, 0.0048
fantasia, 0.1111, 0.0026, 0.0078, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0052, 0.0026, 0.0026, 0.0026, 0.0052, 0.0026, 0.0052, 0.0026, 0.0052, 0.0052, 0.0026, 0.0026, 0.0052, 0.0026, 0.0052, 0.0026, 0.0026, 0.0078, 0.013, 0.0052, 0.0026, 0.0026, 0.0104, 0.0026, 0.0026, 0.0026, 0.0078, 0.0026, 0.0078, 0.013, 0.0104, 0.0078, 0.0104, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0026, 0.0234, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0078, 0.0026, 0.013, 0.0078, 0.0052, 0.0286, 0.0052, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0234, 0.0078, 0.013, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0052, 0.0026, 0.0026, 0.0026, 0.0052, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.013, 0.0156, 0.0078, 0.0078, 0.0208, 0.0026, 0.0026, 0.0078, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0208, 0.013, 0.0182, 0.0078, 0.013, 0.0104, 0.013, 0.013, 0.0078, 0.0026, 0.0078, 0.0078, 0.0026, 0.0026, 0.0052, 0.0026, 0.0026, 0.0078, 0.0026, 0.013, 0.013, 0.0078, 0.0078, 0.0026, 0.0156, 0.0234, 0.0078, 0.0052, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0078, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0026, 0.0026, 0.0026, 0.0026, 0.0078, 0.0078, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0104, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052, 0.0026, 0.0026, 0.0052, 0.0052, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0026, 0.0052
historia, 0.1111, 0.0076, 0.0127, 0.0051, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0076, 0.0076, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0102, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0076, 0.0025, 0.0025, 0.0025, 0.0102, 0.0025, 0.0102, 0.0051, 0.0076, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0228, 0.0025, 0.0025, 0.0051, 0.0025, 0.0025, 0.0051, 0.0025, 0.0051, 0.0025, 0.0025, 0.0076, 0.0051, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0102, 0.0127, 0.0051, 0.0025, 0.0025, 0.0051, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0228, 0.0127, 0.0102, 0.0025, 0.0279, 0.0025, 0.0051, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0076, 0.0025, 0.0025, 0.0025, 0.0025, 0.0228, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0228, 0.033, 0.0228, 0.0102, 0.0482, 0.0152, 0.0051, 0.0203, 0.0127, 0.0102, 0.0102, 0.0178, 0.0152, 0.0051, 0.0051, 0.0076, 0.0025, 0.0025, 0.0025, 0.0025, 0.0076, 0.0102, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025, 0.0051, 0.0025, 0.0076, 0.0025, 0.0076, 0.0025, 0.0025, 0.0025, 0.0025, 0.0076, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0076, 0.0025, 0.0152, 0.0025, 0.0051, 0.0025, 0.0025, 0.0025
romantica, 0.1111, 0.005, 0.0075, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0126, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0101, 0.005, 0.0025, 0.0025, 0.0101, 0.0025, 0.0025, 0.0025, 0.0126, 0.0025, 0.005, 0.0025, 0.0151, 0.005, 0.0251, 0.0025, 0.0276, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0276, 0.0025, 0.0025, 0.0025, 0.0025, 0.0201, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0025, 0.0075, 0.0025, 0.0025, 0.0025, 0.0025, 0.0101, 0.0075, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0126, 0.0176, 0.0151, 0.0025, 0.0603, 0.0025, 0.0025, 0.0075, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0126, 0.0025, 0.0025, 0.005, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0025, 0.005, 0.0126, 0.0075, 0.005, 0.0025, 0.0025, 0.0377, 0.005, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0126, 0.0025, 0.005, 0.0025, 0.0025, 0.0402, 0.0151, 0.0101, 0.0075, 0.0101, 0.0075, 0.005, 0.005, 0.0025, 0.005, 0.0025, 0.005, 0.0101, 0.005, 0.0025, 0.005, 0.005, 0.0075, 0.0025, 0.0025, 0.0025, 0.005, 0.0126, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0025, 0.0101, 0.0025, 0.0025, 0.0025, 0.005, 0.0025, 0.0025, 0.0025, 0.0025, 0.0075
terror, 0.1111, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0141, 0.0028, 0.0141, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0085, 0.0028, 0.0056, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0423, 0.0028, 0.0028, 0.0028, 0.0113, 0.0113, 0.0085, 0.0085, 0.0366, 0.0056, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0225, 0.0028, 0.0028, 0.0028, 0.0028, 0.0225, 0.0028, 0.0028, 0.0056, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0113, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0225, 0.0113, 0.0028, 0.0085, 0.0028, 0.0056, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0085, 0.0028, 0.0028, 0.0113, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0141, 0.0028, 0.0028, 0.0028, 0.0028, 0.0056, 0.0056, 0.0028, 0.0085, 0.0056, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0113, 0.0028, 0.0028, 0.0028, 0.0028, 0.0028, 0.0113, 0.0141, 0.0056, 0.0423, 0.0197, 0.0028, 0.0113, 0.0056, 0.0254, 0.0113, 0.0028, 0.0028, 0.0056, 0.0028, 0.0056, 0.0056, 0.0254, 0.0056, 0.0028, 0.0056
